date,revenue
2023-01-01,51936.127848755445
2023-02-01,54105.894672597045
2023-03-01,47105.229618259684
2023-04-01,52058.15437999532
2023-05-01,53175.273460548764
2023-06-01,44723.781540730655
2023-07-01,46450.224462002676
2023-08-01,43882.3034667197
2023-09-01,49191.77949666633
2023-10-01,52152.62676738788
2023-11-01,54507.07115628808
2023-12-01,50222.28434125933
2024-01-01,66885.84663671388
2024-02-01,57859.69562535533
2024-03-01,56889.852681934535
2024-04-01,61833.356903310145
2024-05-01,63152.196346817924
2024-06-01,61901.915755717724
2024-07-01,55797.67369988037
2024-08-01,61732.63988146163
2024-09-01,58086.59149848544
2024-10-01,64009.017646490116
2024-11-01,63099.79473829055
2024-12-01,59180.360641017935
